Quarter£_2006-2015,Indicators,Gross Domestic Product Current Quarter(100 million yuan),Gross Domestic Product Accumulated(100 million yuan),Value-added of the Primary Industry Current Quarter(100 million yuan),Value-added of the Primary Industry Accumulated(100 million yuan),Value-added of the Secondary Industry Current Quarter(100 million yuan),Value-added of the Secondary Industry Accumulated(100 million yuan),Value-added of the Tertiary Industry Current Quarter(100 million yuan),Value-added of the Tertiary Industry Accumulated(100 million yuan),Value-added of Agriculture Forestry Animal Husbandry and Fishery industries Current Quarter(100 million yuan),Value-added of Agriculture Forestry Animal Husbandry and Fishery industries Accumulated(100 million yuan),Value-added of Industry Current Quarter(100 million yuan)
,4Q 2015,,,,,,,,,,,
,3Q 2015,173595.3,487335.5,18085,38898.3,69801.5,197872.5,85708.8,250564.7,18644,40203.1,57559.8
,2Q 2015,166216.4,313945.1,13340,20865,69067.1,128158.8,83809.4,164921.3,13781.7,21560.7,57711.8
,1Q 2015,147961.8,147891.1,7770,7767,58930.6,58971.7,81261.2,81152.4,8079,8029,52042.5
,4Q 2014,178732.8,635910.2,21138.2,58336.1,76268.2,271764.5,81326.5,305809.7,21748.5,60158,61898.8
,3Q 2014,163467,457293.3,17257.6,37247.9,69644.2,195559.3,76565.2,224486.1,17795.1,38409.5,57701.7
,2Q 2014,155201,294012.2,12449.7,19990.3,67997.8,126003.1,74753.5,148018.8,12837.8,20614.4,57082.7
,1Q 2014,138738,138763.8,7490.5,7540.5,57854.3,57917.3,73393.1,73305.9,7776.6,7776.6,51439.7
,4Q 2013,166183.6,588018.8,20206.6,55321.7,72794.3,256810,73182.8,275887,20807.2,56966,59665.3
,3Q 2013,150719.8,421835.1,16198,35115.1,65454.5,184015.7,69067.3,202704.3,16679.4,36158.9,54608
,2Q 2013,143031.8,271115.3,11703.4,18917.2,63852.1,118561.2,67476.3,133637,12051.3,19479.4,54006
,1Q 2013,128083.5,128083.5,7213.8,7213.8,54709.1,54709.1,66160.7,66160.7,7428.2,7428.2,48984.6
,4Q 2012,150486.4,534123,18396.3,50892.7,67421.2,240200.4,64668.9,243030,18926.3,52358.8,55617.2
,3Q 2012,136722.9,383636.6,14843.6,32496.4,61139.7,172779.2,60739.6,178361,15271.2,33432.6,51355.9
,2Q 2012,130765.8,246913.7,10926.9,17652.8,60317.8,111639.5,59521.1,117621.5,11241.7,18161.3,51399.7
,1Q 2012,116147.9,116147.9,6725.8,6725.8,51321.7,51321.7,58100.3,58100.3,6919.6,6919.6,46166.7
,4Q 2011,136922.3,484123.5,16490.6,46153.3,63328.3,223390.3,57103.3,214579.9,16962.1,47472.9,52608.4
,3Q 2011,125279.3,347201.2,13861.7,29662.7,57688.8,160061.9,53728.8,157476.6,14258.1,30510.8,49003
,2Q 2011,118465,221921.9,10016.3,15800.9,55969.5,102373.1,52479.2,103747.8,10302.7,16252.7,48069.1
,1Q 2011,103456.9,103456.9,5784.6,5784.6,46403.6,46403.6,51268.6,51268.6,5950,5950,41890.2
,4Q 2010,118208.2,408903,14209.2,39354.6,55127.4,188804.9,48871.6,180743.4,14630.6,40521.8,46121.1
,3Q 2010,104950.6,290694.8,11632.1,25145.4,48191,133677.5,45127.5,131871.8,11977.1,25891.2,41100.5
,2Q 2010,99059.8,185744.2,8519.3,13513.3,46724.3,85486.5,43816.2,86744.3,8772,13914.1,40158.3
,1Q 2010,86684.3,86684.3,4994,4994,38762.2,38762.2,42928.1,42928.1,5142.1,5142.1,34996.5
,4Q 2009,99808,345629.2,12286.6,34154,46261.1,157850.1,41260.3,153625.1,12671.1,35215.3,38854.1
,3Q 2009,88923.5,245821.3,9920.3,21867.4,40718,111589,38285.1,112364.9,10228.1,22544.2,34797
,2Q 2009,83614.2,156897.8,7462,11947.1,38809.9,70871,37342.3,74079.8,7693.5,12316.1,33292.5
,1Q 2009,73283.6,73283.6,4485.1,4485.1,32061.1,32061.1,36737.5,36737.5,4622.6,4622.6,28905.4
,4Q 2008,87816.3,316751.7,11277.4,32747,40701.4,148097.9,35837.5,135906.9,11606.5,33692.7,34344.4
,3Q 2008,81619.5,228935.4,9668.7,21469.6,38413.7,107396.4,33537,100069.4,9945.8,22086.2,33681.2
,2Q 2008,78537.6,147316,7354.9,11800.8,37773.7,68982.7,33409,66532.4,7565.4,12140.4,33259.9
,1Q 2008,68778.4,68778.4,4446,4446,31209,31209,33123.4,33123.4,4575,4575,28643.6
,4Q 2007,77894.3,268019.4,10156.6,27783,36437.8,125145.4,31299.9,115090.9,10461.8,28618.6,31157.2
,3Q 2007,68789.5,190125,8191.3,17626.4,32277.7,88707.7,28320.5,83791,8437.4,18156.8,28372.1
,2Q 2007,64648.9,121335.5,5912.1,9435.1,30760.9,56429.9,27975.9,55470.5,6089.5,9719.4,27128.8
,1Q 2007,56686.6,56686.6,3523,3523,25669.1,25669.1,27494.6,27494.6,3629.9,3629.9,23595.8
,4Q 2006,62950.1,217656.6,8425.1,23313,30087.8,103163.5,24437.1,91180.1,8685.8,24032.2,25832.3
,3Q 2006,55467.8,154706.5,6771.3,14887.9,26628.7,73075.6,22067.8,66743,6980.1,15346.4,23423.1
,2Q 2006,52560.4,99238.7,5073.6,8116.6,25281.5,46446.9,22205.3,44675.2,5230,8366.3,22336.2
,1Q 2006,46678.3,46678.3,3043,3043,21165.4,21165.4,22469.9,22469.9,3136.3,3136.3,19487.2